abide               anýt                
acele               çabuk               
acemi               toy                 
acý                 keder               
açýk                aleni               
açýkgöz             kurnaz              
açýklama            izah                
ad                  isim                
adalet              hak                 
aday                namzet              
adele               kas                 
adet                tane                
adýl                zamir               
adi                 bayaðý              
affetmek            baðýþlamak          
agu                 zehir               
að                  file                
ahenk               uyum                
aidat               ödenti              
ak                  beyaz               
aka                 büyük               
akýl                us                  
akraba              hýsým               
al                  kýrmýzý             
alaka               ilgi                
alan                meydan              
alelade             sýradan             
aleni               açýk                
alýcý               müþteri             
alim                bilgin              
ama                 fakat               
amaç                gaye                
amade               hazýr               
amele               iþçi                
an                  lahza               
ana                 anne                
anane               gelenek             
aný                 hatýra              
anýt                abide               
aniden              birdenbire          
anlam               mana                
anne                ana                 
ant                 yemin               
apse                iltihap             
ara                 mesafe              
araç                vasýta              
arýza               bozukluk            
arka                geri                
arkadaþ             dost                
armaðan             hediye              
arzu                istek               
asýr                yüzyýl              
asil                soylu               
aþ                  yemek               
aþýrmak             çalmak              
at                  beygir              
ata                 cet                 
atak                giriþken            
atama               nakil               
atamak              tayin etmek         
atölye              iþlik               
avare               aylak               
ayakkabý            pabuç               
aygýt               cihaz               
aylak               avare               
ayraç               parantez            
ayrýcalýk           imtiyaz             
ayrým               fark                
aza                 üye                 
bacý                kýz kardeþ          
baðýmsýz            müstakil            
baðýþlamak          affetmek            
baðnaz              yobaz               
balçýk              çamur               
barýþ               sulh                
basýmevi            matbaa              
basit               kolay               
baþ                 kafa                
baþkaldýrý          isyan               
baþkan              reis                
baþkent             baþþehir            
baþþehir            baþkent             
baþvuru             müracaat            
batý                garp                
bayaðý              adi                 
baytar              veteriner           
bedava              parasýz             
beden               gövde               
beðeni              zevk                
belge               vesika              
bellek              hafýza              
bencil              egoist              
benlik              kiþilik             
beraber             birlikte            
bereket             bolluk              
berrak              duru                
besin               gýda                
beyanat             demeç               
beyaz               ak                  
beygir              at                  
beyhude             boþuna              
biçare              zavallý             
biçim               þekil               
bilakis             tersine             
bilgin              alim                
bilgisiz            cahil               
bilgisizlik         cehalet             
bilhassa            özellikle           
bilim               ilim                
bilinç              þuur                
bina                yapý                
birdenbire          aniden              
birey               fert                
biricik             tek                 
birlikte            beraber             
bitki               nebat               
bolluk              bereket             
boþuna              beyhude             
boylam              meridyen            
boyut               ebat                
bozkýr              step                
bozukluk            arýza               
bucak               nahiye              
buhran              bunalým             
buluþ               icat                
bunalým             buhran              
buyruk              emir                
büro                ofis                
bütün               tüm                 
büyük               aka                 
cahil               bilgisiz            
caka                gösteriþ            
camekan             vitrin              
canlý               diri                
cehalet             bilgisizlik         
celse               oturum              
cemiyet             toplum              
cenup               güney               
cerahat             irin                
cerrah              operatör            
cesur               yürekli             
cet                 ata                 
cetvel              çizelge             
cevap               yanýt               
ceviz               koz                 
cýlýz               sýska               
cihaz               aygýt               
cihet               yön                 
cimri               pinti               
cins                tür                 
civar               yöre                
cömert              eli açýk            
cümle               tümce               
çaba                gayret              
çabuk               acele               
çað                 devir               
çaðdaþ              modern              
çaðrý               davet               
çalgý               saz                 
çalmak              aþýrmak             
çamur               balçýk              
çare                deva                
çeþitli             muhtelif            
çeviri              tercüme             
çevre               etraf               
çýðlýk              feryat              
çýkar               menfaat             
çizelge             cetvel              
çoðunluk            ekseriyet           
çok                 fazla               
dahil               iç                  
daimi               sürekli             
